,VIOLATION_ID,ORG_ID,VIOLATION_TYPE,VIOLATION_DESC,REMEDIAL_TEXT,CATEGORY
0,1,1,BANNERS,Banners,CAAZ_BANNERS,CAAZ
1,2,1,BGMATOWNER,Proper Maintenance Req - Owner,CAAH_BG_MATOWNER,CAAH
2,4,1,BLDGMAINT,Proper Maintenance Req,CAAH_BLDG_MAINT,CAAH
3,5,1,BLDGPERMIT,Building Permit Required,CAAB_BLDG_PERMIT,CAAB
4,6,1,BLDGSCOPE,Scope of Building Code,CAAH_BLDG_SCOPE,CAAH
5,7,1,BOARDINGRQ,Boarding Requirements,CAAH_BOARDING_REQU,CAAH
6,8,1,BOARDVAC,Boarding of Vacant Buildings,CAAH_BOARDING_VABLDG,CAAH
7,9,1,CARROW,Vehicle In The Right-Of-Way,CAMCL_SEW_CONCT,CAM
8,10,1,CERTCOMP,Certificate of Compliance Required,CAAZ_CERT_COMP,CAAZ
9,11,1,CERTOCC,Certificate of Occupancy Required,CAAH_CERT_OCC,CAAH
10,12,1,CHICKFARM,Chickens and Other Domestic Farm Animals,CAAZ_CHICK_ANIMALS,CAAZ
11,13,1,CONSIGSALE,Consignment Sale,CAAZ_CONSIGN_SALE,CAAZ
12,14,1,CROWDEDFM,Overcrowding – Unrelated Adults,CAAZ_OVCROWDEDFM,CAAZ
13,15,1,CROWDGH,Overcrowding – Group Home,CAAZ_OVCROWDEDGH,CAAZ
14,16,1,DUMPDESIG,Dumping in permitted places,nan,DUM
15,(B). It is unlawful for any person to dispose of or cause to be disposed any waste in any private receptacle other than the person's own private receptacle or unless authorized to do so by the owner of the private receptacle. ,CAMCL_DUMP_DESIG,nan,N,1,
16,17,1,DUMPSTER,Hours of Collection & Dumpster Required,CAMCL_LIT_NOTICE,CAM
17,18,1,ECSYSHZ,Electrical System Hazards,CAAE_ELECSYS_HAZ,CAAE
18,19,1,ECSYSHZCRT,Electrical System Certification,CAAE_ELECSYS_HAZCERT,CAAE
19,20,1,ELECEAREC,Electrical Receptacles,CAAE_ELECEA_RECPT,CAAE
20,21,1,ELECEQ,Electrical Equipment ,CAAE_ELEC_EQ,CAAE
21,22,1,ELECEQLIGH,Electrical Lighting Fixtures,CAAE_ELECEQ_LIGHT,CAAE
22,23,1,ELECFAC,Electrical Facilities Required,CAAE_ELECFAC,CAAE
23,24,1,ELECSVCPAN,Electrical Service Panel,CAAE_ELECSVC_PANEL,CAAE
24,25,1,EXPARK,Exterior Prop Area – Vehicles – Parking,CAAH_EXT_PARK,CAAH
25,26,1,EXTACC,Exterior Prop Area – Acces Structures,CAAH_EXT_ACC,CAAH
26,27,1,EXTBAHAT,Exterior of Bldgs – Basement Hatchways,CAAH_EXT_BAHAT,CAAH
27,28,1,EXTBAL,Exterior of Buildings - Balconies,CAAH_EXT_BALCO,CAAH
28,29,1,EXTCHIMTW,Exterior of Bldgs – Chimneys and Towers,CAAH_EXT_CHIMTW,CAAH
29,30,1,EXTDEC,Exterior of Buildings – Decks,CAAH_EXT_DECK,CAAH
30,31,1,EXTDECF,Exterior of Bldgs – Decorative Features,CAAH_EXT_DECF,CAAH
31,32,1,EXTDENBW,Exterior Prop Area – Fences  Barbed Wire,CAAH_EX_FENBW,CAAH
32,33,1,EXTDOOR,Exterior of Buildings – Doors,CAAH_EXT_DOOR,CAAH
33,34,1,EXTEPIDRES,Exterior of Buildings – Premises ID Res,CAAH_EXT_PIDRES,CAAH
34,35,1,EXTERMOCUP,Extermination – Multiple Occupancy,CAAH_EXTER_MOCCUP,CAAH
35,36,1,EXTEROCCUP,Extermination – Single Occupant,CAAH_EXTER_OCCUP,CAAH
36,37,1,EXTEROWNER,Extermination – Owner,CAAH_EXTER_OWNER,CAAH
37,38,1,EXTERREQ,Extermination Required,CAAH_EXTER_REQ,CAAH
38,39,1,EXTERSOCC,Extermination – Occupant,CAAH_EXTER_SOCCUP,CAAH
39,40,1,EXTEXAH,Exterior Prop Area – Exhaust Vents,CAAH_EXT_EXAH,CAAH
40,41,1,EXTEXTWALL,Exterior of Buildings – Exterior Walls,CAAH_EXT_EXTWALL,CAAH
41,42,1,EXTFDWALL,Exterior of Buildings – Foundation Walls,CAAH_EXT_FDWALL,CAAH
42,43,1,EXTFENMAIN,Exterior Prop Area – Fence Material Main,CAAH_EXT_FENMAINT,CAAH
43,44,1,EXTFENMAT,Exterior Prop Area – Fencing Materials,CAAH_EXT_FENMAT,CAAH
44,45,1,EXTGATE,Exterior Prop Area – Gates,CAAH_EXT_GATE,CAAH
45,46,1,EXTGBAWIN,Exterior of Bldgs – Guards Basement Wind,CAAH_GBAWIN,CAAH
46,47,1,EXTGLAZ,Exterior of Buildings – Glazing,CAAH_EXT_GLAZ,CAAH
47,48,1,EXTGRAD,Exterior Prop Area – Grading Required,CAAH_EXT_GRAD,CAAH
48,49,1,EXTGUTTTER,Exterior of Bldgs – Roofs– Gutter Sys,CAAH_EXT_GUTTER,CAAH
49,50,1,EXTHANDGRD,Exterior of Bldgs – Handrails and Guards,CAAH_EXT_HANDGRD,CAAH
50,51,1,EXTOPNWIN,Exterior of Buildings – Openable Windows,CAAH_EXT_OPNWIN,CAAH
51,52,1,EXTOVEXT,Exterior of Bldgs – Overhang Extensions,CAAH_EXT_OVEXT,CAAH
52,53,1,EXTPIDNRES,Exterior of Bldgs – Premises ID Nonres,CAAH_EXT_PIDNRES,CAAH
53,54,1,EXTPIMFAM,Exterior of Bldg – Premises ID Multi-Fam,CAAH_EXT_PIMFAM,CAAH
54,55,1,EXTPOR,Exterior of Buildings - Porches,CAAH_EXT_PORC,CAAH
55,56,1,EXTPRKAR,Exterior Prop Area – Designated Parking,CAAH_EXT_PRKAR,CAAH
56,57,1,EXTPTMET,Exterior of Bldgs – Treatment Metal Sur,CAAH_EXT_PTMET,CAAH
57,58,1,EXTPTSID,Exterior of Bldgs – Treatment (Siding),CAAH_EXT_PTSID,CAAH
58,59,1,EXTPTWD,Exterior of Bldgs – Pro Treatment (Wood),CAAH_EXT_PTWD,CAAH
59,60,1,EXTREPAIR,Exterior Repair – General,CAAH_EXTERIOR_REPAIR,CAAH
60,61,1,EXTROD,Exterior Prop Area – Rodent Harborage,CAAH_EXT_ROD,CAAH
61,62,1,EXTROFDRAN,Exterior of bldgs – Roofs– Drainage Sys,CAAH_EXT_ROFDRAN,CAAH
62,63,1,EXTROFSYS,Exterior of Bldgs – Roofs – Roof System,CAAH_EXT_ROFSYS,CAAH
63,64,1,EXTSAN,Exterior Prop Area – Sanitation,CAAH_EXT_SAN,CAAH
64,65,1,EXTSCRENNR,Exterior of Bldgs  Insect Screens Nonres,CAAH_EXT_INSSCNRES,CAAH
65,66,1,EXTSCRNRES,Exterior of Bldgs – Insect Screens Res,CAAH_EXT_INSSCRES,CAAH
66,67,1,EXTSDWLK,Exterior Prop Area – Sidewalks,CAAH_EXT_SDWLK,CAAH
67,68,1,EXTSTA,Exterior of Buildings – Stairways,CAAH_EXT_STAIRW,CAAH
68,69,1,EXTSTMEM,Exterior of Bldgs – Structural Members,CAAH_EXT_STMEM,CAAH
69,70,1,EXTSWIM,Exterior Prop Area – Swimming Pools,CAAH_EXT_SWIM,CAAH
70,71,1,EXTTRLS,Exterior Prop Area – Trailers Watercraft,CAAH_EXT_TRLS,CAAH
71,72,1,EXTVEHCON,Exterior Prop Area – Veh – Inop/Unlc,CAAH_EXT_VEHCON,CAAH
72,73,1,EXTVEHPT,Exterior Prop Area – Vehicle Painting,CAAH_EXT_VEHPT,CAAH
73,74,1,EXTVEHRP,Exterior Prop Area – Veh – Dis/Repair,CAAH_EXT_VEHRP,CAAH
74,75,1,EXTWEED,Exterior Prop Area – High Weeds,CAAH_EXT_WEED,CAAH
75,76,1,EXTWINDDRF,"Ext of Bldgs – Wind, Skylit Door Frames",CAAH_EXT_WINDDRF,CAAH
76,77,1,FENCEGHTPR,Fence Height – Off Right-Of-Way (opaque),CAAZ_FENCE_HGT_PRV,CAAZ
77,78,1,FENCEHGFRT,Fence Height – Inside Front Setback,CAAZ_FENCE_HGT_FRT,CAAZ
78,79,1,FENCEHGSR,Fence Height – Side and Rear Setback,CAAZ_FENCE_HGT_SRER,CAAZ
79,80,1,FENCEHGTOP,Fence Height – Off Right-Of-Way (open),CAAZ_FENCE_HGT_OPN,CAAZ
80,81,1,FIREDOORS,Fire Safety – Emergency Escape (Doors),CAAF_FIRESF_DOORS,CAAF
81,82,1,FIREPSMDIN,Fire Protection – Smoke Detector Install,CAAF_FIREPROT_SMDINS,CAAF
82,83,1,FIRESFESC,Fire Safety – Emergency Escape,CAAF_FIRESF_ESC,CAAF
83,84,1,FIRESFGEN,Fire Safety Requirements – Egress,CAAF_FIRESF_GEN,CAAF
84,85,1,FIRESFNCO,Fire Safety – Emergency Escape (Opening),CAAF_FIRESF_NCO,CAAF
85,86,1,FIRESFNCOH,Fire Safety – Emergency Escape (Height),CAAF_FIRESF_NCOH,CAAF
86,87,1,FIRESFNCOW,Fire Safety – Emergency Escape (Width),CAAF_FIRESF_NCOW,CAAF
87,88,1,FIRESFOP,Fire Safety – Emergency Escape (Op),CAAF_FIRESF_OP,CAAF
88,89,1,FIRESMKDET,Fire Protection – Smoke Detectors,CAAF_FIREPROT_SMKDET,CAAF
89,90,1,GARAGESAL,Garage Sales,CAAZ_GARAGE_SALE,CAAZ
90,91,1,GRAFFITI,Exterior of Buildings – Graffiti,CAAH_GRAFFITI,CAAH
91,92,1,HAZWASGEN,"Hazardous, pathogenic, radioactive waste",CAMCL_HAZ_WASTE_GEN,CAM
92,93,1,HAZWSTPATH,"Hazardous, pathogenic, radioactive waste",CAMCL_HAZ_WST_PATH,CAM
93,94,1,HEATREC,Heating – Heating Facilities Required,CAAH_HEAT_REC,CAAH
94,95,1,HEATRES,Heating – Residential Occupancies,CAAH_HEAT_RES,CAAH
95,96,1,HEATSUPPLY,Heating – Heat Supply,CAAH_HEAT_SUPPLY,CAAH
96,97,1,HEATWRKSPC,Heat – Occupiable Work Spaces,CAAH_HEAT_WRK_SPC,CAAH
97,98,1,HOMEOCC,Home Occupation – Permit Required,CAAZ_HOMEOCC,CAAZ
98,99,1,HOMEOCCCON,Home Occupation – Conditions,CAAZ_HOME_OCC,CAAZ
99,100,1,HSANSTD,Sanitation requirements,CAMCL_HSAN_VACBD,CAM
100,101,1,HSANVACBD,Vacation of buildings,CAMCL_QUAR_HOLE,CAM
101,102,1,INTBLDGN,Interiors of Bldgs and Structures Gen,CAAH_INT_BLDGN,CAAH
102,103,1,INTBLDSUR,Interior of Buildings - Surfaces,CAAH_INT_BLDSUR,CAAH
103,104,1,INTHNDGRD,Interior of Bldgs – Handrails and Guards,CAAH_INT_HNDGRD,CAAH
104,105,1,INTINTDOOR,Interior of Buildings – Interior Doors,CAAH_INT_INTDOOR,CAAH
105,106,1,INTSTAIR,Interior of Bldgs – Stairs Walking Surf,CAAH_INT_STAIR,CAAH
106,107,1,LANDREG,Landlord Registration Required,CAAR_LAND_REG,CAAR
107,108,1,LIGHTCHALL,Light – Common Halls and Stairways,CAAH_LIGHT_CHALL,CAAH
108,109,1,LIGHTEMISS,Lighting (Emission),CAAZ_LIGHT_EMISSION,CAAZ
109,110,1,LIGHTHSPC,Light – Habitable Spaces,CAAH_LIGHT_HSPC,CAAH
110,111,1,LIGHTMAX,Lighting (MAX Level),CAAZ_LIGHT_MAX,CAAZ
111,112,1,LIGHTOTR,Light – Other Spaces,CAAH_LIGHT_OTR,CAAH
112,113,1,LITBUSCIT,Litter on public places - citizens,CAMCL_LIT_PRVPROP,CAM
113,114,1,LITBUSREP,Litter on business premises -owner,CAMCL_LIT_BUSCIT,CAM
114,115,1,LITHNBILLP,Handbills - distribution in public,CAMCL_LIT_HNBILL_VEH,CAM
115,116,1,LITHNBILLV,Handbills - distribution on vehicles,CAMCL_LIT_BUSREP,CAM
116,117,1,LITNOTICE,Posting notices prohibited,CAMCL_LIT_HNBILL_PUB,CAM
117,118,1,LITPRO,Proper placement in receptacles ,CAMCL_LIT_WATER,CAM
118,119,1,LITPRVPROO,Litter on private property - owners,CAMCL_LIT_PRVPROP_GN,CAM
119,120,1,LITPRVPROP,Litter on occupied private property,CAMCL_LIT_PROPPL,CAM
120,121,1,LITVACLOT,Litter on vacant lots,CAMCL_LIT_VEH,CAM
121,122,1,LITVEH,Litter from vehicles,CAMCL_LIT_VEHLOAD,CAM
122,123,1,LITVEHLOAD,Litter from vehicle loads tires,CAMCL_ROD_STOGAR,CAM
123,124,1,LITWATER,Litter in water,CAMCL_LIT_VACLOT,CAM
124,125,1,MECHCOMB,Mechanical Equip – Remove of Combus Prod,CAAM_MECH_COMB,CAAM
125,126,1,MECHEQUIP,Mechanical Equip – Appliances,CAAM_MECH_EQUIP,CAAM
126,127,1,MVENVEND,Mobile Vending,CAAZ_MVEN_VENDING,CAAZ
127,128,1,NOISE,Continuous & Intermittent Noise,CAZZ_NOISE,CAZ
128,129,1,NUISGARB,Garbage causing nuisance,CAMCL_NUIS_GARB,CAM
129,130,1,OCCUPACC,Occupancy – Access from Bedrooms,CAAH_OCCUP_ACCESS,CAAH
130,131,1,OCCUPBED,Occupancy – Bedroom Requirements,CAAH_OCCUP_BEDRM,CAAH
131,132,1,OCCUPLIMPV,Occupancy Limits – Privacy,CAAH_OCCUP_LIMPVY,CAAH
132,133,1,OCCUPOCRWD,Occupancy – Overcrowding,CAAH_OCCUP_OCRWD,CAAH
133,134,1,OCCUPOREQ,Occupancy – Other Requirements,CAAH_OCCUP_OREQ,CAAH
134,135,1,OCCUPPROH,Occupancy Prohibited,CAAH_OCCUP_PROHIB,CAAH
135,136,1,OCCUPRMHGT,Occupancy – Minimum Ceiling Heights,CAAH_OCCUP_RMHGT,CAAH
136,137,1,OCCUPRMWID,Occupancy – Minimum Room Widths,CAAH_OCCUP_RMWID,CAAH
137,138,1,OCCUPSLEEP,Occupancy – Sleeping Rooms,CAAH_OCCUP_SLEEPRM,CAAH
138,139,1,OCCUPWCACC,Occupancy – Water Closet Access,CAAH_OCCUP_WCACC,CAAH
139,140,1,OPNSTOR,Exterior Prop Area – Open Storage - All,CAAH_OPN_STOR,CAAH
140,141,1,OPSTDB,Exterior Prop Area – Open Stor – Debris,CAAH_OPST_DEB,CAAH
141,142,1,OPSTJTD,Exterior Prop Area – Open Storage – JTD,CAAH_OPST_JTD,CAAH
142,143,1,OPSTVEH,Exterior Prop Area – Open Storage - Veh,CAAH_OPST_VEH,CAAH
143,144,1,PAVINGPARK,Paving Permanent Parking Areas,CAAZ_PAVING_PARK,CAAZ
144,145,1,PERMITREQ,Building and Zoning Permit Required,CAAZ_PERMIT_BLD_REQ,CAAZ
145,146,1,PLUMDWLUT,Plumbing – Dwelling Units,CAAP_PLUM_DWLUT,CAAP
146,147,1,PLUMEMFAC,Plumbing – Employee Facilities,CAAP_PLUM_EMFAC,CAAP
147,148,1,PLUMFIXCL,Plumbing Systems – Fixture Clearance,CAAP_PLUM_FIXCL,CAAP
148,149,1,PLUMGENREQ,Plumbing Systems – General Requirements,CAAP_PLUM_GENREQ,CAAP
149,150,1,PLUMHOTEL,Plumbing – Hotel,CAAP_PLUM_HOTEL,CAAP
150,151,1,PLUMRMHSE,Plumbing – Rooming Houses,CAAP_PLUM_RMHSE,CAAP
151,152,1,PLUMSYSHAZ,Plumbing Systems – System Hazards,CAAP_PLUM_SYSHAZ,CAAP
152,153,1,QUARHOLE,Nuisance declared - holes,CAAZ_CAR_ROW,CAAZ
153,154,1,RESPMAINT,Failure to Maintain Bldgs or Structures,CAAH_RESP_MAINT,CAAH
154,155,1,RESUESECRS,Security Residence,CAAZ_REUSE_SECRES,CAAZ
155,156,1,RESUSECON,Consignment Sale,CAAZ_RESUSE_CONSIGN,CAAZ
156,157,1,RODACCGAR,Accumulation of garbage,CAMCL_HSAN_STD,CAM
157,158,1,RODSTOGAR,Storage and disposal of garbage,CAMCL_ROD_ACCGAR,CAM
158,159,1,RUBDISGAR,Rubbish and Garbage – Disposal  Garbage,CAAH_RUB_DISGAR,CAAH
159,160,1,RUBGARCON,Rubbish and Garbage – Containers,CAAH_RUB_GARCON,CAAH
160,161,1,RUBGARD,Rubbish and Garbage – Disposal Rubbish,CAAH_RUB_GARD,CAAH
161,162,1,RUBGARFAC,Rubbish and Garbage – Garbage Facilities,CAAH_RUB_GARFAC,CAAH
162,163,1,RUBGARSTOR,Rubbish and Garbage – Rubbish Storage,CAAH_RUB_GARSTOR,CAAH
163,164,1,SANDRAINMT,Sanitary Drainage System – Maintenance,CAAP_SAN_DRAIN_MAINT,CAAP
164,165,1,SANDRAINSY,Sanitary Drainage System – General,CAAP_SAN_DRAIN_SYS,CAAP
165,166,1,SCHBUS,School Buses,CAAH_SCH_BUS,CAAH
166,167,1,SEWCONCT,Connect to public sewer,CAMCL_SEW_CONCTP,CAM
167,168,1,SEWCONPER,Private connections permitted,CAMCL_SEW_SEPTK,CAM
168,169,1,SEWRNOFWTR,Runoff in body of water,CAAB_STOP_WORK,CAAB
169,170,1,SEWRUNOFF,Runoff of contents unlawful,CAMCL_SEW_RNOFWTR,CAM
170,171,1,SEWSEPTK,Septic Tank - Sewage on ground,CAMCL_SEW_RUNOFF,CAM
171,172,1,SGNPRHBPOR,Prohibited Sign - Portable Sign,CAAZ_SGN_PROHBPORT,CAAZ
172,173,1,SGNPROBLK,Prohibited Signs - Blank,CAAZ_SGN_PROHBBLK,CAAZ
173,174,1,SIGH25,Signs – Greater than 25 Percent,CAAZ_SIGN_25PERCENT,CAAZ
174,175,1,SIGNABAN,Abandoned Signs,CAAZ_SIGN_ABAN,CAAZ
175,176,1,SIGNDILAP,Dilapidated Signs,CAAZ_SIGN_DILAP,CAAZ
176,177,1,SIGNHARM,Prohibited Sign - Harmful,CAZZ_SGN_PROHBHARM,CAZ
177,178,1,SIGNIPLS,Signs – Prohibited Placement –BUS,CAAZ_SIGN_IPLS,CAAZ
178,179,1,SIGNIPPP,Signs – Prohibited Placement – Public,CAAZ_SIGN_IPPP,CAAZ
179,180,1,SIGNMAINT,Sign Maintenance ,CAAZ_SIGN_MAINT,CAAZ
180,181,1,SIGNMAT,Sign Material,CAAZ_SIGN_MAT,CAAZ
181,182,1,SIGNMOTION,Electronic Sign (LED) Display Motion,CAAZ_SIGN_MOTION,CAAZ
182,183,1,SIGNPERMIT,Sign Permit Required,CAAZ_SIGN_PERMIT_REQ,CAAZ
183,184,1,SIGNPROHB,Prohibited Signs,CAAZ_SIGN_PROHB,CAAZ
184,185,1,SIGNPROHH,Signs – Prohibited – Handheld,CAAZ_SIGN_HNDHLD,CAAZ
185,186,1,SIGNTIMING,Electronic Sign (LED) Display Timing,CAAZ_SIGN_TIMING,CAAZ
186,187,1,SIGNUNSILL,Unsafe or Illegal Sign,CAAZ_SIGN_UNSAILL,CAAZ
187,188,1,SIGNVEHP,Signs – Prohibited (Vehicle Signs),CAAZ_SIGN_VEHP,CAAZ
188,189,1,SIGNWND,Signs – Prohibited - Wind,CAAZ_SIGN_WND,CAAZ
189,190,1,STMEM,Interior of Bldgs – Structural Members,CAAH_STMEM,CAAH
190,191,1,STOPWORK,Stop Work Order Posted,CAAH_BLDG_SCOPE,CAAH
191,192,1,TEMPEXPIR,Temporary U&O Expired,CAAB_TEMP_EXPIR,CAAB
192,193,1,TOLRMLOC,Toilet Rooms – Location,CAAP_TOLRM_LOC,CAAP
193,194,1,TOLRMPRVC,Toilet Rooms – Privacy,CAAP_TOLRM_PRVC,CAAP
194,195,1,TOLRNLOCEM,Toilet Rooms – Employee Toilet Facilitie,CAAP_TOLRN_LOCEMFC,CAAP
195,196,1,TRACTRAIL,Tractor-Trailer Parking,CAAH_TRAC_TRAILER,CAAH
196,197,1,TRASHCANS,Trash Cans,CAAH_TRASH_CANS,CAAH
197,198,1,TRUCKCOMM,Commercial Truck Parking,CAAH_TRUCK,CAAH
198,199,1,USENOTPERM,Use Not Permitted,CAAZ_USE_NOT_PERMIT,CAAZ
199,200,1,VACANTBLD,Vacant Buildings,CAAH_VACANT_BLDINGS,CAAH
200,201,1,VENTBATH,Ventilation – Bathrooms and Toilet Rooms,CAAH_VENT_BATH,CAAH
201,202,1,VENTCOOK,Ventilation – Cooking Facilities,CAAH_VENT_COOKFAC,CAAH
202,203,1,VENTDRYER,Ventilation – Clothes Dryer Exhaust ,CAAH_VENT_DRYER,CAAH
203,204,1,VENTHAB,Ventilation – Habitable Spaces,CAAH_VENT_HABSPC,CAAH
204,205,1,VENTPROC,Ventilation – Process Ventilation,CAAH_VENT_PROC,CAAH
205,206,1,WATERCON,Water System – Contamination ,CAAP_WATER_CONTAM,CAAP
206,207,1,WATERGEN,Water System – General,CAAP_WATER_GEN,CAAP
207,208,1,WATERSUP,Water – Supply,CAAP_WATER_SUPPLY,CAAP
208,209,1,WATERWTRHT,Water – Water Heating Facilities,CAAP_WATER_WTRHEAT,CAAP
209,210,1,SWVIOLPTP,Violations - Post Construction Treatment,nan,SW
210,212,1,SWVIOLWQ,Violations for Water Quality Impacts,nan,SW
211,213,1,SWENVCRT,Environmental Court Proceedings,nan,SW
212,214,1,SWVIOLGP,Violations - for Construction Activities,nan,SW
213,247,1,917,HOUSE DISREPAIR,nan,917
214,381,1,CAAA_ACCESSORY_STUCT,ACCESSORY STRUCTURES,nan,CAAA
215,384,1,CAAA_BOAT,BOAT STORAGE IN FRONT YARD PROHIBITED,nan,CAAA
216,385,1,CAAA_DUMPSTER,HOURS OF COLLECTION & DUMPSTER REQUIRE,nan,CAAA
217,386,1,CAAA_EXHAUST_FAN,EXHAUST FAN DISCHARGE,nan,CAAA
218,387,1,CAAA_EXTERIOR_REPAIR,EXTERIOR REPAIR,nan,CAAA
219,388,1,CAAA_FAILURE_SECURE,FAILURE TO SECURE,nan,CAAA
220,389,1,CAAA_FENCE_MATERIAL,FENCE MATERIAL,nan,CAAA
221,390,1,CAAA_GATE_MAINT,GATE MAINTENANCE,nan,CAAA
222,391,1,CAAA_GRAFFITI,GRAFFITI,nan,CAAA
223,392,1,CAAA_HIGH_WEEDS,HIGH WEEDS,nan,CAAA
224,393,1,CAAA_IMV_ACCUM,UNLIC / INOP / ACCUMULATION MTR VEHICLES,nan,CAAA
225,394,1,CAAA_INTERIOR_REPAIR,INTERIOR REPAIR,nan,CAAA
226,395,1,CAAA_LANDLORD_REGSTR,LANDLORD REGISTRATION,nan,CAAA
227,396,1,CAAA_OPEN_STORAGE,"OPEN STORAGE, JUNK, TRASH, DEBRIS",nan,CAAA
228,397,1,CAAA_PARK_ON_GRASS,PARKING ON GRASS,nan,CAAA
229,398,1,CAAA_PARKING_25%,PARKING AREA EXCEEDS 25%,nan,CAAA
230,399,1,CAAA_PREMIS_ID_COMER,ADDRESS ID COMMERCIAL,nan,CAAA
231,400,1,CAAA_PREMIS_ID_MLTFM,ADDRESS ID MULTI FAMILY,nan,CAAA
232,401,1,CAAA_PREMIS_ID_RES,ADDRESS ID RESIDENTIAL,nan,CAAA
233,402,1,CAAA_RODENT_INFESTA,RODENT INFESTATION,nan,CAAA
234,403,1,CAAA_SIDEWLK_DRIVEWA,SIDEWALK AND DRIVEWAY MAINT,nan,CAAA
235,404,1,CAAA_SWIMMING_POOLS,SWIMMING POOLS,nan,CAAA
236,405,1,CAAA_TRASH_CANS,TRASH CANS,nan,CAAA
237,407,1,CAAB_BLDG_PERMIT,BUILDING PERMIT REQUIRED,nan,CAAB
238,408,1,CAAB_STOP_WORK,STOP WORK ORDER POSTED,nan,CAAB
239,409,1,CAAB_TEMP_EXPIR,TEMPORARY U&O EXPIRED,nan,CAAB
240,410,1,CAAE_ELEC_EQ,ELECTRICAL EQUIPMENT,nan,CAAE
241,411,1,CAAE_ELECEA_RECPT,ELECTRICAL RECEPTACLES,nan,CAAE
242,412,1,CAAE_ELECEQ_LIGHT,ELECTRICAL LIGHTING FIXTURES,nan,CAAE
243,413,1,CAAE_ELECFAC,ELECTRICAL FACILITIES REQUIRED,nan,CAAE
244,414,1,CAAE_ELECSVC_PANEL,ELECTRICAL SERVICE PANEL,nan,CAAE
245,415,1,CAAE_ELECSYS_HAZ,ELECTRICAL SYSTEM HAZARDS,nan,CAAE
246,416,1,CAAE_ELECSYS_HAZCERT,ELECTRICAL SYSTEM CERTIFICATION,nan,CAAE
247,417,1,CAAF_FIREPROT_SMDINS,FIRE PROTECTION – SMOKE DETECTOR INSTALL,nan,CAAF
248,418,1,CAAF_FIREPROT_SMKDET,FIRE PROTECTION – SMOKE DETECTORS,nan,CAAF
249,419,1,CAAF_FIRESF_DOORS,FIRE SAFETY – EMERGENCY ESCAPE (DOORS),nan,CAAF
250,420,1,CAAF_FIRESF_ESC,FIRE SAFETY – EMERGENCY ESCAPE,nan,CAAF
251,421,1,CAAF_FIRESF_GEN,FIRE SAFETY REQUIREMENTS – EGRESS,nan,CAAF
252,422,1,CAAF_FIRESF_NCO,FIRE SAFETY – EMERGENCY ESCAPE (OPENING),nan,CAAF
253,423,1,CAAF_FIRESF_NCOH,FIRE SAFETY – EMERGENCY ESCAPE (HEIGHT),nan,CAAF
254,424,1,CAAF_FIRESF_NCOW,FIRE SAFETY – EMERGENCY ESCAPE (WIDTH),nan,CAAF
255,425,1,CAAF_FIRESF_OP,FIRE SAFETY – EMERGENCY ESCAPE (OP),nan,CAAF
256,426,1,CAAH_BG_MATOWNER,PROPER MAINTENANCE REQ - OWNER,nan,CAAH
257,427,1,CAAH_BLDG_MAINT,PROPER MAINTENANCE REQ,nan,CAAH
258,428,1,CAAH_BLDG_SCOPE,SCOPE OF BUILDING CODE,nan,CAAH
259,429,1,CAAH_BOARDING_REQU,BOARDING REQUIREMENTS,nan,CAAH
260,430,1,CAAH_BOARDING_VABLDG,BOARDING OF VACANT BUILDINGS,nan,CAAH
261,431,1,CAAH_CERT_OCC,CERTIFICATE OF OCCUPANCY REQUIRED,nan,CAAH
262,432,1,CAAH_EX_FENBW,EXTERIOR PROP AREA – FENCES  BARBED WIRE,nan,CAAH
263,433,1,CAAH_EXT_ACC,EXTERIOR PROP AREA – ACCES STRUCTURES,nan,CAAH
264,434,1,CAAH_EXT_BAHAT,EXTERIOR OF BLDGS – BASEMENT HATCHWAYS,nan,CAAH
265,435,1,CAAH_EXT_BALCO,EXTERIOR OF BUILDINGS - BALCONIES,nan,CAAH
266,436,1,CAAH_EXT_CHIMTW,EXTERIOR OF BLDGS – CHIMNEYS AND TOWERS,nan,CAAH
267,437,1,CAAH_EXT_DECF,EXTERIOR OF BLDGS – DECORATIVE FEATURES,nan,CAAH
268,438,1,CAAH_EXT_DECK,EXTERIOR OF BUILDINGS – DECKS,nan,CAAH
